dataset_id,title,organization,sector,tags,formats,num_resources,metadata_created,metadata_modified,description,source_url
556b6ffe-263e-4427-9e3c-dd2cbfa6765a,Digital Availability : Agra,Ministry of Housing and Urban Affairs,Others,Access|Citizen|Digital|payment,,,2019-02-04,2025-02-12,This indicator helps determine the % of citizen services available online,https://www.data.gov.in/catalog/digital-availability-agra
a9bf9a99-2498-4f2a-936a-cfb56cc75208,Digital Payments : Agra,Ministry of Housing and Urban Affairs,Information and Communications,Collection|Digital|digital payment|online,,,2019-02-04,2025-02-17,This indicator helps determine the digital payments efficiency of a city,https://www.data.gov.in/catalog/digital-payments-agra
c3069553-3332-4c76-9975-da9bb845c944,Buses : Agra,Ministry of Housing and Urban Affairs,Others,Bus|cost|earnings|Revenue|stands|Stops|Terminals,,,2019-02-05,2025-02-18,This catalog helps understand the public transportation system of a city,https://www.data.gov.in/catalog/buses-agra
9d65b478-e99f-4226-ade3-ac2bbae74439,City Profile : Agra,Ministry of Housing and Urban Affairs,Others,area|Households|Labour|Population|smart city|Workforce,,,2019-02-05,2025-02-14,"The catalog contains data regarding basic indicators like area, population, workforce participation and households present in the city. These indicators define the basic profile of the city.",https://www.data.gov.in/catalog/city-profile-agra
ac79ec76-7d64-4161-b760-7eefbf4e4c24,Crimes : Agra,Ministry of Housing and Urban Affairs,Others,Crimes|Record,,,2019-02-05,2025-02-17,This indicator helps understand the prevalent crime rate in a city,https://www.data.gov.in/catalog/crimes-agra
1d7a6eee-a6dd-4d29-88b2-ceb156d7854d,Property Tax : Agra,Ministry of Housing and Urban Affairs,Others,Collection|Property|Tax,,,2019-02-05,2025-02-17,This denotes the efficiency achieved by a city in collecting property taxes against the tax demand raised in a given year.,https://www.data.gov.in/catalog/property-tax-agra
56c2731e-c4e3-4f65-b122-387196ebc43a,Cutural Heritage : Agra,Ministry of Housing and Urban Affairs,Others,Culture|Heritage|Monuments|Street,,,2019-02-05,2025-02-17,This catalog helps identify the heritages of importance in a city,https://www.data.gov.in/catalog/cutural-heritage-agra
f1a0ca2e-a26e-45c7-ae5d-b05bd50f9962,Water : Agra,Ministry of Housing and Urban Affairs,Others,Consumption|domestic|supply|water,,,2019-02-05,2025-02-12,This catalog helps determine the water consumption per capita,https://www.data.gov.in/catalog/water-agra
2cc1fd9e-ea08-4c29-8cb3-a74f3522026b,Citizen Facilities : Agra,Ministry of Housing and Urban Affairs,Others,CFC|Citizen|CSC|Facilitation|facility|services|smart city,,,2019-02-05,2019-07-24,This catalog gives out ward wise details of the name and address of CSC/CFCs along with the staff count and services provided\,https://www.data.gov.in/catalog/citizen-facilities-agra
d5df711d-b49a-4a7d-9b62-c31ca7e91327,ITC Neighbourbood : Agra,Ministry of Housing and Urban Affairs,Others,area|Facilities|municipal|neighbourhood|Park|Playground|residential,,,2019-02-05,2025-02-14,"Facilities for children at ward level; % of total area covered under parks, playgrounds and open spaces; % of municipal budget allocated for open spaces",https://www.data.gov.in/catalog/itc-neighbourbood-agra
